t,x,y,vx,vy
0.0000,0.035000,0.049020,3.500000,4.902000
0.0100,0.070000,0.097060,3.500000,4.804000
0.0200,0.105000,0.144120,3.500000,4.706000
0.0300,0.140000,0.190200,3.500000,4.608000
0.0400,0.175000,0.235300,3.500000,4.510000
0.0500,0.210000,0.279420,3.500000,4.412000
0.0600,0.245000,0.322560,3.500000,4.314000
0.0700,0.280000,0.364720,3.500000,4.216000
0.0800,0.315000,0.405900,3.500000,4.118000
0.0900,0.350000,0.446100,3.500000,4.020000
0.1000,0.385000,0.485320,3.500000,3.922000
0.1100,0.420000,0.523560,3.500000,3.824000
0.1200,0.455000,0.560820,3.500000,3.726000
0.1300,0.490000,0.597100,3.500000,3.628000
0.1400,0.525000,0.632400,3.500000,3.530000
0.1500,0.560000,0.666720,3.500000,3.432000
0.1600,0.595000,0.700060,3.500000,3.334000
0.1700,0.630000,0.732420,3.500000,3.236000
0.1800,0.665000,0.763800,3.500000,3.138000
0.1900,0.700000,0.794200,3.500000,3.040000
0.2000,0.735000,0.823620,3.500000,2.942000
0.2100,0.770000,0.852060,3.500000,2.844000
0.2200,0.805000,0.879520,3.500000,2.746000
0.2300,0.840000,0.906000,3.500000,2.648000
0.2400,0.875000,0.931500,3.500000,2.550000
0.2500,0.910000,0.956020,3.500000,2.452000
0.2600,0.945000,0.979560,3.500000,2.354000
0.2700,0.980000,1.002120,3.500000,2.256000
0.2800,1.015000,1.023700,3.500000,2.158000
0.2900,1.050000,1.044300,3.500000,2.060000
0.3000,1.085000,1.063920,3.500000,1.962000
0.3100,1.120000,1.082560,3.500000,1.864000
0.3200,1.155000,1.100220,3.500000,1.766000
0.3300,1.190000,1.116900,3.500000,1.668000
0.3400,1.225000,1.132600,3.500000,1.570000
0.3500,1.260000,1.147320,3.500000,1.472000
0.3600,1.295000,1.161060,3.500000,1.374000
0.3700,1.330000,1.173820,3.500000,1.276000
0.3800,1.365000,1.185600,3.500000,1.178000
0.3900,1.400000,1.196400,3.500000,1.080000
0.4000,1.435000,1.206220,3.500000,0.982000
0.4100,1.470000,1.215060,3.500000,0.884000
0.4200,1.505000,1.222920,3.500000,0.786000
0.4300,1.540000,1.229800,3.500000,0.688000
0.4400,1.575000,1.235700,3.500000,0.590000
0.4500,1.610000,1.240620,3.500000,0.492000
0.4600,1.645000,1.244560,3.500000,0.394000
0.4700,1.680000,1.247520,3.500000,0.296000
0.4800,1.715000,1.249500,3.500000,0.198000
0.4900,1.750000,1.250500,3.500000,0.100000
0.5000,1.785000,1.250520,3.500000,0.002000
0.5100,1.820000,1.249560,3.500000,-0.096000
0.5200,1.855000,1.247620,3.500000,-0.194000
0.5300,1.890000,1.244700,3.500000,-0.292000
0.5400,1.925000,1.240800,3.500000,-0.390000
0.5500,1.960000,1.235920,3.500000,-0.488000
0.5600,1.995000,1.230060,3.500000,-0.586000
0.5700,2.030000,1.223220,3.500000,-0.684000
0.5800,2.065000,1.215400,3.500000,-0.782000
0.5900,2.100000,1.206600,3.500000,-0.880000
0.6000,2.135000,1.196820,3.500000,-0.978000
0.6100,2.170000,1.186060,3.500000,-1.076000
0.6200,2.205000,1.174320,3.500000,-1.174000
0.6300,2.240000,1.161600,3.500000,-1.272000
0.6400,2.275000,1.147900,3.500000,-1.370000
0.6500,2.310000,1.133220,3.500000,-1.468000
0.6600,2.345000,1.117560,3.500000,-1.566000
0.6700,2.380000,1.100920,3.500000,-1.664000
0.6800,2.415000,1.083300,3.500000,-1.762000
0.6900,2.450000,1.064700,3.500000,-1.860000
0.7000,2.485000,1.045120,3.500000,-1.958000
0.7100,2.520000,1.024560,3.500000,-2.056000
0.7200,2.555000,1.003020,3.500000,-2.154000
0.7300,2.590000,0.980500,3.500000,-2.252000
0.7400,2.625000,0.957000,3.500000,-2.350000
0.7500,2.660000,0.932520,3.500000,-2.448000
0.7600,2.695000,0.907060,3.500000,-2.546000
0.7700,2.730000,0.880620,3.500000,-2.644000
0.7800,2.765000,0.853200,3.500000,-2.742000
0.7900,2.800000,0.824800,3.500000,-2.840000
0.8000,2.835000,0.795420,3.500000,-2.938000
0.8100,2.870000,0.765060,3.500000,-3.036000
0.8200,2.905000,0.733720,3.500000,-3.134000
0.8300,2.940000,0.701400,3.500000,-3.232000
0.8400,2.975000,0.668100,3.500000,-3.330000
0.8500,3.010000,0.633820,3.500000,-3.428000
0.8600,3.045000,0.598560,3.500000,-3.526000
0.8700,3.080000,0.562320,3.500000,-3.624000
0.8800,3.115000,0.525100,3.500000,-3.722000
0.8900,3.150000,0.486900,3.500000,-3.820000
0.9000,3.185000,0.447720,3.500000,-3.918000
0.9100,3.220000,0.407560,3.500000,-4.016000
0.9200,3.255000,0.366420,3.500000,-4.114000
0.9300,3.290000,0.324300,3.500000,-4.212000
0.9400,3.325000,0.281200,3.500000,-4.310000
0.9500,3.360000,0.237120,3.500000,-4.408000
0.9600,3.395000,0.192060,3.500000,-4.506000
0.9700,3.430000,0.146020,3.500000,-4.604000
0.9800,3.465000,0.099000,3.500000,-4.702000
0.9900,3.500000,0.051000,3.500000,-4.800000
1.0000,3.535000,0.002020,3.500000,-4.898000
1.0100,3.570000,-0.047940,3.500000,-4.996000
